CERCID,RESEARCHER,SITE,TREATMENT,ORDER,INGFIRST,COREL.L,INGROUP,SUM1,COREL.S,SELF,SUM2,HONEST,SEX,AGE,AGE.C,FAMILY,CHILDREN,FORMALED,HOUSEHOLD,NATLANG,MAT1,MAT1C,MAT2,MAT2C,MAT3,MAT3C,MAT4,MAT4C,MMAT,MMATc,BGLG1ST,HIGHGOD.BG,OMNI.BG,DIEPUN,DKDIEPUN,MBG,BGR1,BGR2,BGTHINK,BGPERF,BGPERFHO,BGFREQW,BGPUNISH,BGSTEAL,BGSTLIMP,BGLYING,BGLIEIMP,BGMURDER,BGMURDIMP,BGFEEL,BGSEE,BGREWARD,BGDIE,BGSTRANGER,BGOTHERRIT,BGPERFC,HIGHGOD.LG,OMNI.LG,LGDIEPUN,MLG,LGR1,LGR2,LGTHINK,LGPERF,LGPERFHO,LGFREQW,LGPUNISH,LGSTEAL,LGSTEALIMP,LGLYING,LGLIEIMP,LGMURDER,LGMURDIMP,LGFEEL,LGSEE,LGREWARD,LGDIE,LGSTRANGER,LGOTHERRIT,LGPERFC,POLEVAL,CORELEMO,INGREMO,OUTGREMO,CORELSIM,BGTHINKH,BGFREQWH,BGSTEALH,BGLYINGH,BGMURDERH,BGREWARDH,LGTHINKH,LGFREQWH,LGSTEALH,LGLYINGH,LGMURDERH,LGREWARDH,POLEVALH,CORELEMOH,INGREMOH,OUTGREMOH
CERC292,Xygalatas,Mauritius,0,12,1,13,17,30,18,12,30,0,1,22,-15.4,2,0,11,4,NA,0,1,1,0,0,1,0,-1,0.25,0.25,1,1,1,1,0,2,1,1,4,1,4,3,1,3,2,3,2,3,2,1,1,3,1,1,0,0,1,1,1,0.67,0,0,0,0,0,1,1,0,0,0,2,1,0,1,1,0,1,1,0,1,1,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC293,Xygalatas,Mauritius,0,12,1,10,20,30,18,12,30,0,1,18,-19.4,1,0,11,3,NA,1,1,0,1,1,0,1,0,0.75,0.5,1,0.75,1,0.5,0,2.67,1,1,4,1,4,0,1,1,2,3,3,3,3,1,1,3,0,1,0,0,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,4,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC294,Xygalatas,Mauritius,0,21,0,16,14,30,14,16,30,0,1,38,0.6,1,0,11,1,NA,1,1,1,1,0,1,1,1,0.75,1,1,0.5,1,0,0,2,1,1,3,1,3,2,0,2,2,2,2,1,2,1,1,3,0,1,1,1,0.25,0,0.5,1,0,0,2,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,-1,4,4,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC295,Xygalatas,Mauritius,0,21,0,12,18,30,18,12,30,0,1,35,-2.4,1,0,6,9,NA,0,0,0,0,1,2,0,0,0.25,0.5,1,1,1,1,0,2.33,1,1,4,1,1,3,1,3,2,1,2,3,3,1,1,3,1,1,1,1,0.5,0.5,0.5,2.33,0.67,0.67,0,1,1,3,1,3,2,2,3,1,2,0,1,2,0,1,1,1,2,4,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC296,Xygalatas,Mauritius,0,12,1,10,20,30,19,11,30,0,1,74,36.6,2,3,6,6,NA,0,1,0,1,0,1,0,1,0,1,1,0.5,1,0,0,0,0.67,0.67,4,1,4,2,0,0,0,0,0,0,0,1,1,2,0,0,1,1,1,1,1,0.33,0.33,0.33,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC297,Xygalatas,Mauritius,0,21,0,15,15,30,15,15,30,0,1,21,-16.4,1,0,11,1,NA,0,2,1,0,0,0,0,2,0.25,1,1,1,1,1,0,3,1,1,0,1,3,0,1,3,3,3,3,3,3,1,1,3,1,1,0,0,0.5,1,0,2.33,1,1,0,0,NA,0,0,1,2,3,2,3,3,1,1,3,0,0,1,1,2,4,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC298,Xygalatas,Mauritius,0,21,0,18,12,30,10,20,30,0,1,54,16.6,2,1,6,3,NA,1,1,1,-1,1,1,1,-2,1,-0.25,1,0.75,1,0.5,0,3,1,1,4,1,3,3,0,1,2,2,3,3,4,1,1,3,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,5,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC299,Xygalatas,Mauritius,0,21,0,13,17,30,14,16,30,0,1,52,14.6,2,4,6,5,NA,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,0,2.33,0.67,0.67,4,1,4,3,0,2,2,2,2,1,3,1,1,2,0,1,1,1,1,1,1,2.67,0.33,0.33,2,0,0,1,1,3,2,2,3,3,3,1,1,1,1,1,1,1,1,5,5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC300,Xygalatas,Mauritius,0,12,1,13,17,30,12,18,30,0,0,57,19.6,2,3,2,10,NA,0,2,0,2,0,2,0,2,0,2,1,0.75,1,0.5,0,0,1,1,3,1,3,2,0,3,0,3,0,3,0,1,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC301,Xygalatas,Mauritius,0,12,1,17,13,30,20,10,30,0,1,61,23.6,2,4,0,4,NA,1,-1,1,2,0,1,1,1,0.75,0.75,1,1,1,1,0,2,0.33,0.33,3,1,2,3,1,1,2,1,2,NA,2,1,1,1,1,1,1,1,0.75,1,0.5,0.67,0.33,0.33,2,0,0,1,1,0,0,0,0,1,2,1,1,1,0,1,1,1,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
