Culture,CERCID,Order,GOOD_ORIG_NC,GOOD_ORIG_TL,MATCH_GOOD,GOOD_SPEC_NC,GOOD_SPEC_TL,GOOD_SPEC_BP,BAD_ORIG_NC,BAD_ORIG_TL,MATCH_BAD,BAD_SPEC_NC,BAD_SPEC_TL,BAD_SPEC_BP
Inland Tanna,CERC123,4,Obey chief,Obey chief,Match,Obedience - Chief,Obedience,Obedient,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC123,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC124,1,No stealing,No stealing,Match,No Stealing,No stealing,No Stealing,Stealing,Stealing,Match,Stealing,Stealing,Theft
Inland Tanna,CERC124,2,Share,Share,Match,Sharing,Sharing,Generous/Shares,Hurts other people,Hurts other people,Match,Hurting - Others,Bad behavior,Harm Others
Inland Tanna,CERC124,3,Doesn't swear,Doesn't swear,Match,No Swearing,No foul language,No Swearing,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC124,4,Respect,Respect,Match,Respect,Respectful,Respectful,Swears a lot,Swears a lot,Match,Swearing,Foul language,Bad Language (Swearing)
Inland Tanna,CERC124,5,Love,Love,Match,Loving,Loving,Loving,Hates other people,Hates other people,Match,Hate - Others,Hatred,Hateful
Inland Tanna,CERC125,1,Welcomes people,Welcomes people,Match,Hospitable,Hospitality,Hospitable,Not welcoming people,Not welcoming people,Match,Not Hospitable,Unfriendly,Inhospitable
Inland Tanna,CERC125,2,Kind,Kind,Match,Kind,Kindness,Kind,Unkind,Unkind,Match,Not Kind,Unkind,Unkind
Inland Tanna,CERC125,3,No stealing,No stealing,Match,No Stealing,No stealing,No Stealing,Stealing,Stealing,Match,Stealing,Stealing,Theft
Inland Tanna,CERC125,4,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC125,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC126,1,No stealing,No stealing,Match,No Stealing,No stealing,No Stealing,Stealing,Stealing,Match,Stealing,Stealing,Theft
Inland Tanna,CERC126,2,Kind to people,Kind to people,Match,Kind - People,Kindness,Kind,Unkind,Unkind,Match,Not Kind,Unkind,Unkind
Inland Tanna,CERC126,3,No fighting,No fighting,Match,No Violence - Fighting,Peace,No Violence,Fighting,Fighting,Match,Violence  - Fighting,Fighting,Violent
Inland Tanna,CERC126,4,No swearing,No swearing,Match,No Swearing,No foul language,No Swearing,Swearing,Swearing,Match,Swearing,Foul language,Bad Language (Swearing)
Inland Tanna,CERC126,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC127,1,No stealing,No stealing,Match,No Stealing,No stealing,No Stealing,Fighting,Fighting,Match,Violence  - Fighting,Fighting,Violent
Inland Tanna,CERC127,2,No fighting,No fighting,Match,No Violence - Fighting,Peace,No Violence,Stealing,Stealing,Match,Stealing,Stealing,Theft
Inland Tanna,CERC127,3,Respect,Respect,Match,Respect,Respectful,Respectful,Swearing,Swearing,Match,Swearing,Foul language,Bad Language (Swearing)
Inland Tanna,CERC127,4,Obey elders,Obey elders,Match,Obedience - Elders,Obedience,Obedient,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC127,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC128,1,Love,Love,Match,Loving,Loving,Loving,Stealing,Stealing,Match,Stealing,Stealing,Theft
Inland Tanna,CERC128,2,Welcoming people,Welcoming people,Match,Hospitable,Hospitality,Hospitable,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC128,3,Helping other people,Helping other people,Match,Helpful - Others,Helpful,Helpful,Hurting others,Hurting others,Match,Violence - Hurting,Bad behavior,Violent
Inland Tanna,CERC128,4,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC128,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC129,1,No stealing,No stealing,Match,No Stealing,No stealing,No Stealing,Fighting,Fighting,Match,Violence  - Fighting,Fighting,Violent
Inland Tanna,CERC129,2,No swearing,No swearing,Match,No Swearing,No foul language,No Swearing,Disobedience,Disobedience,Match,Disobedience,Disobedience,Disobedient
Inland Tanna,CERC129,3,NA,NA,Match,NA,NA,NA,Swearing,Swearing,Match,Swearing,Foul language,Bad Language (Swearing)
Inland Tanna,CERC129,4,NA,NA,Match,NA,NA,NA,Stealing,Stealing,Match,Stealing,Stealing,Theft
Inland Tanna,CERC129,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Coastal Tanna,CERC13,1,respect,respect,Match,Respect,Respectful,Respectful,disrespect,disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Coastal Tanna,CERC13,2,welcome other people,welcome other people,Match,Hospitable,Hospitality,Hospitable,stealing,stealing,Match,Stealing,Stealing,Theft
Coastal Tanna,CERC13,3,obeyed,obeyed,Match,Obedience,Obedience,Obedient,Disobedient,Disobedient,Match,Disobedience,Disobedience,Disobedient
Coastal Tanna,CERC13,4,helping widows,helping widows,Match,Helpful - Widows,Helpful,Helpful,not helping people like widows,not helping people like widows,Match,Not Helpful - Widows,Unhelpful,Unhelpful
Coastal Tanna,CERC13,5,no stealing,no stealing,Match,Not Stealing,No stealing,No Stealing,not welcoming people,not welcoming people,Match,Not Hospitable,Unfriendly,Inhospitable
Inland Tanna,CERC130,1,Welcomes people,Welcomes people,Match,Hospitable,Hospitality,Hospitable,Not welcoming ,Not welcoming ,Match,Not Hospitable,Unfriendly,Inhospitable
Inland Tanna,CERC130,2,Feed people,Feed people,Match,Charitable - Food,Generous,Generous/Shares,Hates people,Hates people,Match,Hate - Others,Hatred,Hateful
Inland Tanna,CERC130,3,Obey,Obey,Match,Obedience,Obedience,Obedient,Healing,Healing,Match,Healing,Healing,Healing
Inland Tanna,CERC130,4,Not stealing,Not stealing,Match,No Stealing,No stealing,No Stealing,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC130,5,No swearing,No swearing,Match,No Swearing,No foul language,No Swearing,Swearing,Swearing,Match,Swearing,Foul language,Bad Language (Swearing)
Inland Tanna,CERC131,1,Obey parents,Obey parents,Match,Obedience - Parents,Obedience,Obedient,Disobeys parents,Disobeys parents,Match,Disobedience - Parents,Disobedience,Disobedient
Inland Tanna,CERC131,2,Welcomes people,Welcomes people,Match,Hospitable,Hospitality,Hospitable,Doesn't welcome,Doesn't welcome,Match,Not Hospitable,Unfriendly,Inhospitable
Inland Tanna,CERC131,3,Feeds others,Feeds others,Match,Charitable - Food,Generous,Generous/Shares,Doesn't feed others,Doesn't feed others,Match,Not Chartiable - Feed,Selfish,Not Feeding Others
Inland Tanna,CERC131,4,Helps community,Helps community,Match,Helpful - Community,Helpful,Helpful,Doesn't help community,Doesn't help community,Match,Not Helpful,Unhelpful,Unhelpful
Inland Tanna,CERC131,5,Respect,Respect,Match,Respect,Respectful,Respectful,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC132,1,NA,NA,Match,NA,NA,NA,stealing,stealing,Match,Stealing,Stealing,Theft
Inland Tanna,CERC132,2,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC132,3,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC132,4,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC132,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC133,1,Welcomes people,Welcomes people,Match,Hospitable,Hospitality,Hospitable,Not welcoming people,Not welcoming people,Match,Not Hospitable,Unfriendly,Inhospitable
Inland Tanna,CERC133,2,Gives food,Gives food,Match,Charitable - Food,Generous,Generous/Shares,Fighting,Fighting,Match,Violence  - Fighting,Fighting,Violent
Inland Tanna,CERC133,3,Obeys people,Obeys people,Match,Obedience - Others,Obedience,Obedient,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC133,4,Looking after older people who need help,Looking after older people who need help,Match,Lookng After - Old People,Helpful,Caring,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC133,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC134,1,Welcomes people,Welcomes people,Match,Hospitable,Hospitality,Hospitable,Doesn't welcome people,Doesn't welcome people,Match,Not Hospitable,Unfriendly,Inhospitable
Inland Tanna,CERC134,2,Gives food to people,Gives food to people,Match,Charitable - Food,Generous,Generous/Shares,Doesn't give to people,Doesn't give to people,Match,Not Chartiable - Giving,Selfish,Not Feeding Others
Inland Tanna,CERC134,3,Kind to people,Kind to people,Match,Kind - People,Kindness,Kind,Unkind,Unkind,Match,Not Kind,Unkind,Unkind
Inland Tanna,CERC134,4,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC134,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC135,1,Welcomes people,Welcomes people,Match,Hospitable,Hospitality,Hospitable,Disobey,Disobey,Match,Disobedience,Disobedience,Disobedient
Inland Tanna,CERC135,2,Obey,Obey,Match,Obedience,Obedience,Obedient,Fighting,Fighting,Match,Violence  - Fighting,Fighting,Violent
Inland Tanna,CERC135,3,No stealing,No stealing,Match,No Stealing,No stealing,No Stealing,Stealing,Stealing,Match,Stealing,Stealing,Theft
Inland Tanna,CERC135,4,Respect,Respect,Match,Respect,Respectful,Respectful,Hates people,Hates people,Match,Hate - Others,Hatred,Hateful
Inland Tanna,CERC135,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC136,1,Doesn't say bad words,Doesn't say bad words,Match,No Swearing,No foul language,No Swearing,Doesn't look after guest,Doesn't look after guest,Match,Not Hospitable,Unfriendly,Inhospitable
Inland Tanna,CERC136,2,Can work/strong to work,Can work/strong to work,Match,Work - Strong,Hardworking,Hard-working,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC136,3,Sharing what she has,Sharing what she has,Match,Sharing,Sharing,Generous/Shares,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC136,4,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC136,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC137,1,NA,NA,Match,NA,NA,NA,Steal,Steal,Match,Stealing,Stealing,Theft
Inland Tanna,CERC137,2,NA,NA,Match,NA,NA,NA,Drink too much alcohol,Drink too much alcohol,Match,Alcohol - Drinking,Substance abuse,Drugs/Alcohol/Substance
Inland Tanna,CERC137,3,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC137,4,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC137,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC138,1,Sharing,Sharing,Match,Sharing,Sharing,Generous/Shares,Swearing,Swearing,Match,Swearing,Foul language,Bad Language (Swearing)
Inland Tanna,CERC138,2,Helping someone in need,Helping someone in need,Match,Helpful - Needy,Helpful,Helpful,Selfish/not sharing,Selfish/not sharing,Match,Selfish,Selfish,Selfish
Inland Tanna,CERC138,3,NA,NA,Match,NA,NA,NA,Not helping,Not helping,Match,Not Helpful,Unhelpful,Unhelpful
Inland Tanna,CERC138,4,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC138,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC139,1,Sharing,Sharing,Match,Sharing,Sharing,Generous/Shares,Not sharing,Not sharing,Match,Not Sharing,Selfish,Doesn't Share
Inland Tanna,CERC139,2,No stealing,No stealing,Match,No Stealing,No stealing,No Stealing,Stealing,Stealing,Match,Stealing,Stealing,Theft
Inland Tanna,CERC139,3,Welcoming people,Welcoming people,Match,Hospitable,Hospitality,Hospitable,Not welcoming people,Not welcoming people,Match,Not Hospitable,Unfriendly,Inhospitable
Inland Tanna,CERC139,4,Helping out,Helping out,Match,Helpful,Helpful,Helpful,Not helping,Not helping,Match,Not Helpful,Unhelpful,Unhelpful
Inland Tanna,CERC139,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Coastal Tanna,CERC14,1,sharing,sharing,Match,Sharing,Sharing,Generous/Shares,selfish,selfish,Match,Selfish,Selfish,Selfish
Coastal Tanna,CERC14,2,kind,kind,Match,Kind,Kindness,Kind,going out and drinking,going out and drinking,Match,Alcohol - Drinking,Substance abuse,Drugs/Alcohol/Substance
Coastal Tanna,CERC14,3,helping,helping,Match,Helpful,Helpful,Helpful,gossip,gossip,Match,Gossip,Gossipping,Gossip
Coastal Tanna,CERC14,4,Christian,Christian,Match,Faith,Christianity,Religious Faith,not supporting your family,not supporting your family,Match,Not Caring,Unsupportive,Not Caring
Coastal Tanna,CERC14,5,patient,patient,Match,Patience,Patience,Patient,killing,killing,Match,Violence - Killing,Killing,Murder
Inland Tanna,CERC140,1,Welcomes people,Welcomes people,Match,Hospitable,Hospitality,Hospitable,Not welcoming,Not welcoming,Match,Not Hospitable,Unfriendly,Inhospitable
Inland Tanna,CERC140,2,Kind to people,Kind to people,Match,Kind - People,Kindness,Kind,Unkind,Unkind,Match,Not Kind,Unkind,Unkind
Inland Tanna,CERC140,3,Helping community,Helping community,Match,Helpful - Community,Helpful,Helpful,Not helping community,Not helping community,Match,Not Helpful - Community,Unhelpful,Unhelpful
Inland Tanna,CERC140,4,Not fighting,Not fighting,Match,No Violence - Fighting,Peace,No Violence,Fighting,Fighting,Match,Violence  - Fighting,Fighting,Violent
Inland Tanna,CERC140,5,Respect,Respect,Match,Respect,Respectful,Respectful,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC141,1,NA,NA,Match,NA,NA,NA,Swearing,Swearing,Match,Swearing,Foul language,Bad Language (Swearing)
Inland Tanna,CERC141,2,NA,NA,Match,NA,NA,NA,Hurts other people,Hurts other people,Match,Hurting - Others,Bad behavior,Harm Others
Inland Tanna,CERC141,3,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC141,4,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC141,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC142,1,Kindness,Kindness,Match,Kind,Kindness,Kind,Swearing,Swearing,Match,Swearing,Foul language,Bad Language (Swearing)
Inland Tanna,CERC142,2,Welcoming people,Welcoming people,Match,Hospitable,Hospitality,Hospitable,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC142,3,Obey elders,Obey elders,Match,Obedience - Elders,Obedience,Obedient,Unkind,Unkind,Match,Not Kind,Unkind,Unkind
Inland Tanna,CERC142,4,Help widows,Help widows,Match,Helpful - Widows,Helpful,Helpful,Not welcoming people in house,Not welcoming people in house,Match,Not Hospitable,Unfriendly,Inhospitable
Inland Tanna,CERC142,5,Respect,Respect,Match,Respect,Respectful,Respectful,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC143,1,Not swearing,Not swearing,Match,No Swearing,No foul language,No Swearing,Swearing,Swearing,Match,Swearing,Foul language,Bad Language (Swearing)
Inland Tanna,CERC143,2,Obey parents,Obey parents,Match,Obedience - Parents,Obedience,Obedient,Disobeying parents,Disobeying parents,Match,Disobedience - Parents,Disobedience,Disobedient
Inland Tanna,CERC143,3,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC143,4,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC143,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC144,1,Kindness,Kindness,Match,Kind,Kindness,Kind,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC144,2,Not swearing,Not swearing,Match,No Swearing,No foul language,No Swearing,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC144,3,Not stealing,Not stealing,Match,No Stealing,No stealing,No Stealing,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC144,4,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC144,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC145,1,Welcome people,Welcome people,Match,Hospitable,Hospitality,Hospitable,Questioning people,Questioning people,Match,Questioning,Suspicion,Critical
Inland Tanna,CERC145,2,Kind,Kind,Match,Kind,Kindness,Kind,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC145,3,Sharing food,Sharing food,Match,Sharing - Food,Sharing,Generous/Shares,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC145,4,Have respect,Have respect,Match,Respect,Respectful,Respectful,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC145,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC146,1,Welcomes people,Welcomes people,Match,Hospitable,Hospitality,Hospitable,Doesn't welcome people,Doesn't welcome people,Match,Not Hospitable,Unfriendly,Inhospitable
Inland Tanna,CERC146,2,Respect chief,Respect chief,Match,Respect - Chief,Respectful,Respectful,Disrespects chief,Disrespects chief,Match,Disrespectful - Chief,Disrespectful,Disrespectful
Inland Tanna,CERC146,3,Behaves well,Behaves well,Match,Behaviour - Good,Good behavior,"Good (Conscience, Behavior, Nature, Heart)",Behaves poorly,Behaves poorly,Match,Behaviour - Bad,Bad behavior,"Bad (Conscience, Behavior, Nature, Heart)"
Inland Tanna,CERC146,4,Helping others,Helping others,Match,Helpful - Others,Helpful,Helpful,Doesn't help others,Doesn't help others,Match,Not Helpful,Unhelpful,Unhelpful
Inland Tanna,CERC146,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC147,1,Love other people,Love other people,Match,Loving - Others,Loving,Loving,Stealing,Stealing,Match,Stealing,Stealing,Theft
Inland Tanna,CERC147,2,Doing good to other people,Doing good to other people,Match,Behaviour - Good,Good behavior,"Good (Conscience, Behavior, Nature, Heart)",Disobeying,Disobeying,Match,Disobedience,Disobedience,Disobedient
Inland Tanna,CERC147,3,Strangers helping other people,Strangers helping other people,Match,Helpful - Others,Helpful,Helpful,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC147,4,Welcoming people to home,Welcoming people to home,Match,Hospitable,Hospitality,Hospitable,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC147,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC148,1,NA,NA,Match,NA,NA,NA,don't share,don't share,Match,Not Sharing,Selfish,Doesn't Share
Inland Tanna,CERC148,2,NA,NA,Match,NA,NA,NA,not welcoming,not welcoming,Match,Not Hospitable,Unfriendly,Inhospitable
Inland Tanna,CERC148,3,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC148,4,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC148,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC149,1,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC149,2,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC149,3,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC149,4,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC149,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Coastal Tanna,CERC15,1,helping widows,helping widows,Match,Helpful - Widows,Helpful,Helpful,not kind to people,not kind to people,Match,Not Kind,Unkind,Unkind
Coastal Tanna,CERC15,2,giving food to poor people,giving food to poor people,Match,Charitable - Food to poor,Generous,Generous/Shares,stealing,stealing,Match,Stealing,Stealing,Theft
Coastal Tanna,CERC15,3,kind to people,kind to people,Match,Kind - People,Kindness,Kind,not welcoming people,not welcoming people,Match,Not Hospitable,Unfriendly,Inhospitable
Coastal Tanna,CERC15,4,NA,NA,Match,NA,NA,NA,hate people,hate people,Match,Hate - Others,Hatred,Hateful
Coastal Tanna,CERC15,5,NA,NA,Match,NA,NA,NA,disrespect,disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC150,1,NA,NA,Match,NA,NA,NA,fighting,fighting,Match,Violence  - Fighting,Fighting,Violent
Inland Tanna,CERC150,2,NA,NA,Match,NA,NA,NA,stealing,stealing,Match,Stealing,Stealing,Theft
Inland Tanna,CERC150,3,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC150,4,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC150,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC151,1,Be kind to people,Be kind to people,Match,Kind - People,Kindness,Kind,Disobey,Disobey,Match,Disobedience,Disobedience,Disobedient
Inland Tanna,CERC151,2,No stealing,No stealing,Match,No Stealing,No stealing,No Stealing,Doesn't listen to father,Doesn't listen to father,Match,Disobedience,Disobedience,Disobedient
Inland Tanna,CERC151,3,Obey the people,Obey the people,Match,Obedience - Others,Obedience,Obedient,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC151,4,Respect,Respect,Match,Respect,Respectful,Respectful,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC151,5,Helping widows,Helping widows,Match,Helpful - Widows,Helpful,Helpful,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC152,1,Love,Love,Match,Loving,Loving,Loving,Swearing,Swearing,Match,Swearing,Foul language,Bad Language (Swearing)
Inland Tanna,CERC152,2,Respect,Respect,Match,Respect,Respectful,Respectful,Stealing,Stealing,Match,Stealing,Stealing,Theft
Inland Tanna,CERC152,3,Do good for other people,Do good for other people,Match,Behaviour - Good,Good behavior,"Good (Conscience, Behavior, Nature, Heart)",Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC152,4,Positivity/smiling,Positivity/smiling,Match,Positive/Smiling,Happiness,Positive,Hates others,Hates others,Match,Hate - Others,Hatred,Hateful
Inland Tanna,CERC152,5,Sharing,Sharing,Match,Sharing,Sharing,Generous/Shares,Not sharing,Not sharing,Match,Not Sharing,Selfish,Doesn't Share
Inland Tanna,CERC153,1,Respect,Respect,Match,Respect,Respectful,Respectful,Stealing,Stealing,Match,Stealing,Stealing,Theft
Inland Tanna,CERC153,2,Kind,Kind,Match,Kind,Kindness,Kind,Lying,Lying,Match,Lies,Dishonesty,Dishonest
Inland Tanna,CERC153,3,Not stealing,Not stealing,Match,No Stealing,No stealing,No Stealing,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC153,4,Sharing,Sharing,Match,Sharing,Sharing,Generous/Shares,Not helping,Not helping,Match,Not Helpful,Unhelpful,Unhelpful
Inland Tanna,CERC153,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC154,1,Respect,Respect,Match,Respect,Respectful,Respectful,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC154,2,Kind,Kind,Match,Kind,Kindness,Kind,Unkind,Unkind,Match,Not Kind,Unkind,Unkind
Inland Tanna,CERC154,3,Serving food,Serving food,Match,Charitable - Food,Serving food,Generous/Shares,Not serving food,Not serving food,Match,Not Chartiable - Food,Unfriendly,Not Feeding Others
Inland Tanna,CERC154,4,Helping,Helping,Match,Helpful,Helpful,Helpful,Being unhelpful,Being unhelpful,Match,Not Helpful,Unhelpful,Unhelpful
Inland Tanna,CERC154,5,No swearing,No swearing,Match,No Swearing,No foul language,No Swearing,Swearing,Swearing,Match,Swearing,Foul language,Bad Language (Swearing)
Inland Tanna,CERC155,1,Respect,Respect,Match,Respect,Respectful,Respectful,Doesn't listen to other people,Doesn't listen to other people,Match,Disobedience,Disobedience,Disobedient
Inland Tanna,CERC155,2,Love,Love,Match,Loving,Loving,Loving,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC155,3,Share,Share,Match,Sharing,Sharing,Generous/Shares,Disobedient,Disobedient,Match,Disobedience,Disobedience,Disobedient
Inland Tanna,CERC155,4,Welcome people in home,Welcome people in home,Match,Hospitable,Hospitality,Hospitable,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC155,5,No hate,No hate,Match,No Hate,Loving,Loving,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC156,1,Welcomes people,Welcomes people,Match,Hospitable,Hospitality,Hospitable,Greedy,Greedy,Match,Greed,Greed,Greedy
Inland Tanna,CERC156,2,Sharing,Sharing,Match,Sharing,Sharing,Generous/Shares,Hateful,Hateful,Match,Hate,Hatred,Hateful
Inland Tanna,CERC156,3,Respect,Respect,Match,Respect,Respectful,Respectful,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC156,4,Helping others,Helping others,Match,Helpful - Others,Helpful,Helpful,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC156,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC157,1,Kindness,Kindness,Match,Kind,Kindness,Kind,Swearing,Swearing,Match,Swearing,Foul language,Bad Language (Swearing)
Inland Tanna,CERC157,2,Obeys the chief and other people,Obeys the chief and other people,Match,Obedience - Leaders,Obedience,Obedient,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC157,3,Not stealing,Not stealing,Match,No Stealing,No stealing,No Stealing,Unkind,Unkind,Match,Not Kind,Unkind,Unkind
Inland Tanna,CERC157,4,Respect,Respect,Match,Respect,Respectful,Respectful,Disobeying,Disobeying,Match,Disobedience,Disobedience,Disobedient
Inland Tanna,CERC157,5,NA,NA,Match,NA,NA,NA,Stealing,Stealing,Match,Stealing,Stealing,Theft
Inland Tanna,CERC158,1,Sharing,Sharing,Match,Sharing,Sharing,Generous/Shares,Stealing,Stealing,Match,Stealing,Stealing,Theft
Inland Tanna,CERC158,2,Respect,Respect,Match,Respect,Respectful,Respectful,Disobedient,Disobedient,Match,Disobedience,Disobedience,Disobedient
Inland Tanna,CERC158,3,Has kava at nakamal,Has kava at nakamal,Match,Alcohol - Kava at Nakamal,Gardening,Drugs/Alcohol/Substance,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC158,4,Welcomes people to house,Welcomes people to house,Match,Hospitable,Hospitality,Hospitable,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC158,5,Cares for animals,Cares for animals,Match,Caring  - Animals,Caring,Caring,NA,NA,Match,NA,NA,NA
Inland Tanna,CERC159,1,Love other people,Love other people,Match,Loving - Others,Loving,Loving,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,CERC159,2,Respect other people,Respect other people,Match,Respect - Others,Respectful,Respectful,Stealing,Stealing,Match,Stealing,Stealing,Theft
Inland Tanna,CERC159,3,Welcomes people at his home,Welcomes people at his home,Match,Hospitable,Hospitality,Hospitable,Does not share,Does not share,Match,Not Sharing,Selfish,Doesn't Share
