CERCID,SITE,SELFGAME,DISTANT,PROXIM,DIEPUN,OMNI.BG,AGE,SEX,CHILDREN,FORMALED,HONSAL,DISSAL,HONBIN,DISBIN,HONDIS,TREATMENT,INGFIRST,gamecheck,gmcheck.imp,HADZA
CERC108,Hadza,1,6,24,NA,0,45,1,6,0,NA,NA,0,0,0,0,1,NA,0,1
CERC109,Hadza,1,17,13,0,1,38,0,5,0,NA,NA,0,0,0,0,0,NA,0,1
CERC11,Coastal Tanna,1,14,16,1,1,18,0,0,8,NA,NA,0,0,0,0,0,0,0,0
CERC110,Hadza,1,10,20,1,1,30,1,0,7,0.25,0.8,1,1,2,0,1,NA,1,1
CERC111,Hadza,1,18,12,0,1,19,0,1,5,NA,NA,0,0,0,0,0,NA,0,1
CERC112,Hadza,1,11,19,0,0,42,0,7,0,NA,NA,0,0,0,0,1,NA,0,1
CERC113,Inland Tanna,1,12,18,0.5,1,39,0,8,0,NA,NA,0,0,0,0,0,0,0,0
CERC114,Inland Tanna,1,15,15,1,1,34,0,6,0,NA,NA,0,0,0,0,1,0,0,0
CERC115,Inland Tanna,1,6,24,NA,NA,37,0,9,0,NA,NA,0,0,0,0,0,0,0,0
CERC116,Inland Tanna,1,16,14,1,1,52,0,8,0,NA,NA,0,0,0,0,1,0,0,0
CERC117,Inland Tanna,1,12,18,1,1,63,0,11,0,NA,NA,0,0,0,0,0,0,0,0
CERC118,Inland Tanna,1,12,18,1,1,35,0,6,0,NA,NA,0,0,0,0,0,0,0,0
CERC119,Inland Tanna,1,13,17,NA,NA,67,0,9,0,NA,NA,0,0,0,0,1,0,0,0
CERC12,Coastal Tanna,1,17,13,1,1,19,0,2,7,NA,NA,0,0,0,0,1,0,0,0
CERC120,Inland Tanna,1,13,17,0.5,1,32,0,3,0,NA,NA,0,0,0,0,0,0,0,0
CERC121,Inland Tanna,1,14,16,0.5,1,19,0,0,0,NA,NA,0,0,0,0,1,0,0,0
CERC122,Inland Tanna,1,0,30,0,1,21,0,0,0,NA,NA,0,0,0,0,0,0,0,0
CERC123,Inland Tanna,1,15,15,1,1,26,0,2,0,NA,NA,0,0,0,0,0,0,0,0
